text,year
"We reaffirm our resolution of the 1965 Convention relating to our opposition to obscene, pornographic, and offensive publications and entertainment and call the attention of our churches to the program of action which it recommends.	We call attention also to a decision of the United States Supreme Court, announced on April 22, 1968, which upheld an act of the State of New York prohibiting the sale of obscene materials to minors under the age of seventeen.  We urge Baptists everywhere to join with citizens concerned with the protection of children and young people from the immoral, degrading influences of offensive literature and entertainment to take advantage of this significant decision of our highest court, and to urge city councils, state legislatures, and Congress to pass laws, in keeping with this decision, to prohibit the distribution and sale of obscene publications and entertainment to minors.",1968
"WHEREAS, The doctrine of soul liberty is basic to Baptist beliefs, its corollary being the doctrine of a free church in a free state, and	WHEREAS, The Southern Baptist Convention has often expressed itself for separation of church and state, and	WHEREAS, In the passing years there has been an increasing complication in church-state relations in such matters as tax money in the form of grants and loans available for private and sectarian institutions, tax privileges for religious groups, religious ministries to armed service personnel, public assistance to dependent persons, international emergency needs, and basic health services, and	WHEREAS, Organized society has increasingly undergirded the provision of care for people in need because of age, lack of job skills or opportunities, illness, death of the breadwinner, or other emergencies, and	WHEREAS, Many, if not most of the new church-state issues are arising through federal and state-administered programs or through urban planning and growth, and	WHEREAS, We are called upon continually to make a more precise definition of the separation of church and state as applied to these changing relations and programs,	Therefore, be it RESOLVED, By the messengers of the Southern Baptist Convention meeting at Houston, Texas, June 7, 1968, that we reaffirm our basic doctrine of soul liberty and the corollaries of religious liberty for all men and a separation of church and state, and	Be it further RESOLVED, That we reaffirm our faith in the principle that tax funds came from all citizens and should not be used to further the advantages of any religious or sectarian causes, and	Be it further RESOLVED, That we commend those who have made studied analyses of these changing situations in an effort to safeguard our basic insights on freedom and on human dignity and need, and	Be it further RESOLVED, That we urge Baptist agencies and institutions to assign leadership responsibilities concerning church-state relationships designed to safeguard both the people's rights under government and their freedom under God.",1968
"	WHEREAS, There is pending legislation in the National Congress dealing with the regulation and possible deletion of cigarette and liquor advertisement from the mass media,	Therefore, be it RESOLVED, that we give encouragement and support to all Congressmen who are backing this legislation.",1969
"	WHEREAS, The Southern Baptist Convention recognizes, first, that widespread distribution of the printed Word of God is a basic need in mission work around the world; and second, that missionary advance calls for even greater distribution of Bibles, New Testaments, Gospels, other individual books of the Bible, and shorter Scripture selections, and	WHEREAS, The American Bible Society renders an essential worldwide missionary service through translating and publishing the Scriptures without note or comment and through distributing them without profit and usually below cost, and	WHEREAS, The American Bible Society is rendering an additional special service through providing, without charge to the chaplains, Scriptures for distribution to the men and women of the armed forces and to patients in Veterans hospitals, and	WHEREAS, The American Bible Society has made an unprecedented contribution to the Christian witness in the widespread distribution of an inexpensive translation of the New Testament, ""Good News for Modern Man,""	THEREFORE, BE IT RESOLVED, That we, the messengers of the Southern Baptist Convention at New Orleans, June 12, 1969, fraternally urge all our churches and our people to support as possible the work of the American Bible Society as an additional instrument for providing Scriptures for missionary advance and personal devotion.",1969
"	The Southern Baptist Convention in its one hundred and twelfth session pauses to give thanks to almighty God, who in his gracious providence endowed the state of Louisiana and especially the Crescent City of New Orleans with rare beauty and a delightful climate that have made it ideal for this Convention.	We would further express our appreciation to all of the citizens for the spirit of hospitality and friendliness.  We are grateful for the many services and courtesies extended by the local committees; to those responsible for making us comfortable in the hotels, motels, and homes; to those who have provided transportation with efficiency and courtesy; and, to those who have taken care of all our facilities at the Rivergate Exhibition Center so effectively.	We would express our thanks for all the city officials who have accorded us such a hearty welcome and placed at our disposal, and for our help, the departments of public service.	We express our special thanks to media of communication, press, the radio, and the television for their complete coverage of the Convention.",1969
"WHEREAS, The Southern Baptist Convention has consistently adopted statements on concern for a Christian posture toward people of all races, and	WHEREAS, Many Southern Baptist individuals and agencies have repeatedly expressed verbally and in concrete actions their concern for the betterment of the total well being of all men; and	WHEREAS, Our Convention adopted ""A Statement Concerning the Crisis in Our Nation"" in its annual session in 1968; and	WHEREAS, The Home Mission Board has given prophetic leadership in seeking to implement the principles of ""A Statement Concerning the Crisis in Our Nation""; and	WHEREAS, Many Southern Baptist laymen, pastors, and denominational leaders have consistently solicited support for governmental and social service agencies which seek to minister to the physical, material, and emotional needs of needy people of all races; and	WHEREAS, Militant leaders of some races have made widely publicized demands for racial ""reparations"" upon religious bodies of our nation;	THEREFORE, BE IT RESOLVED, That we as messengers to the Southern Baptist Convention in New Orleans on June 13, 1969, reaffirm our commitment to the principles embodied in the Southern Baptist Convention's ""A Statement Concerning the Crisis in Our Nation"" in 1968; and	BE IT FURTHER RESOLVED, That we encourage the Home Mission Board and other Southern Baptist agencies to give prayerful urgency to continuing implementation of the suggestions made in ""A Statement Concerning the Crisis in Our Nation""; and	BE IT FURTHER RESOLVED, That we urge individuals, churches, and institutions to continue to work for the fullest possible freedom and fulfillment of aspirations for human dignity and personal worth for all people; and	BE IT FURTHER RESOLVED, That we express appreciation for those persons and agencies which have made courageous efforts to work for racial justice and human betterment in difficult areas; and	BE IT FURTHER RESOLVED, That we reject in total the demands, principles, and methods espoused by the National Black Economic Development Council which has made outrageous claims against religious bodies in our nation, proclaiming our disapproval of the intimidation, threats, and ultimatums propagated by leaders of this movement; and	BE IT FURTHER RESOLVED, That we instruct all Southern Baptist Convention agencies to channel available funds through already established channels of Convention agencies and institutions in keeping with program assignments for interracial and social service activities; and	BE IT FURTHER RESOLVED, That we call upon all citizens of whatever race, creed, or national origin to work for racial justice, economic improvement, political emancipation, educational advancement, and Christian understanding among all peoples of the nation and the world.	RESOLUTION ON CONSCIENTIOUS OBJECTORS	(not adopted)	WHEREAS, The United States Selective Service System has made provisions whereby persons who for reason of religious conviction may be exempted from personal participation in military service, and	WHEREAS, The Southern Baptist Convention and other denominations have already established procedures whereby such conscientious objectors to military service may register their objections and be so certified by their denomination, and	WHEREAS, Several conscientious objectors within the Southern Baptist Convention have already availed themselves of such registration;	THEREFORE, BE IT HEREBY RESOLVED, That the messengers of the Southern Baptist Convention meeting in New Orleans, June 13, 1969, reaffirm our position last taken in 1940 that those who for reasons of religious conviction are opposed to military service should be exempted from forced military conscription, and	BE IT FURTHER RESOLVED, That we state that this resolution does not imply approval or support of any citizen who refuses to accept the full obligation of responsible citizenship.",1969
"WHEREAS, The United States Selective Service System has made provisions whereby persons who for reason of religious conviction may be exempted from personal participation in military service, and	WHEREAS, The Southern Baptist Convention and other denominations have already established procedures whereby such conscientious objectors to military service may register their objections and be so certified by their denomination, and	WHEREAS, Several conscientious objectors within the Southern Baptist Convention have already availed themselves of such registration;	THEREFORE, BE IT HEREBY RESOLVED, That the messengers of the Southern Baptist Convention meeting in New Orleans, June 13, 1969, reaffirm our position last taken in 1940 that those who for reasons of religious conviction are opposed to military service should be exempted from forced military conscription, and	BE IT FURTHER RESOLVED, That we state that this resolution does not imply approval or support any of citizen who refuses to accept the full obligation of responsible citizenship.",1969
"WHEREAS, All Christians, including Southern Baptists, should consistently oppose inhumanity, injustice, and war, and	WHEREAS, Our nation is currently embroiled in a tragic conflict in Vietnam which has already caused untold misery and death in Asia, America, and other parts of the world;	Therefore, be it hereby RESOLVED, That we as messengers to the Southern Baptist Convention meeting in New Orleans, June 13, 1969, pledge our prayerful concern for all who give their service and lives in the pursuit of peace and justice for all men everywhere; and	Be it further RESOLVED, That we covenant ourselves to express concern and compassion for the families and friends of all called upon to serve in the service of our country; and	Be it further RESOLVED, That this Convention express to the United States Secretary of Defense, Melvin Laird, and his colleagues in our Government our hearty support of his recent appeals to the Hanoi Government to grant basic legal and humanitarian rights to American prisoners of war, and	Be it further RESOLVED, That we urge our President and other responsible diplomatic leaders to pursue every possible effort to secure an equitable settlement of the Vietnam conflict as soon as humanly possible; and	Be it further RESOLVED, That we pledge ourselves as Southern Baptists to recommit our every resource to the unceasing propagation of the principles embodied in the Person and teachings of Jesus Christ as the only permanent solution to the eternal problems of world peace and ultimate human freedom.",1969
"WHEREAS, It is the stated policy of Southern Baptist Hospital in New Orleans ""to make available the services of the hospital to all people regardless of race, creed, color, national origin, or ability to pay, in such ways as to preserve human dignity and worth.""	Therefore, be it RESOLVED, That this 1969 session of the Southern Baptist Convention meeting in New Orleans on June 13, 1969, request the Hospital Commission trustees to pursue this matter without delay in order to bring actual practice in line with stated policy.	RESOLUTION ON CHRISTIAN SOCIAL CONCERN	WHEREAS, The Southern Baptist Convention has consistently adopted statements on concern for a Christian posture toward people of all races, and	WHEREAS, Many Southern Baptist individuals and agencies have repeatedly expressed verbally and in concrete actions their concern for the betterment of the total well being of all men; and	WHEREAS, Our Convention adopted ""A Statement Concerning the Crisis in Our Nation"" in its annual session in 1968; and	WHEREAS, The Home Mission Board has given prophetic leadership in seeking to implement the principles of ""A Statement Concerning the Crisis in Our Nation""; and	WHEREAS, Many Southern Baptist laymen, pastors, and denominational leaders have consistently solicited support for governmental and social service agencies which seek to minister to the physical, material, and emotional needs of needy people of all races; and	WHEREAS, Militant leaders of some races have made widely publicized demands for racial ""reparations"" upon religious bodies of our nation;	Therefore, be it RESOLVED, That we as messengers to the Southern Baptist Convention in New Orleans on June 13, 1969, reaffirm our commitment to the principles embodied in the Southern Baptist Convention's ""A Statement Concerning the Crisis in Our Nation"" in 1968; and	Be it further RESOLVED, That we encourage the Home Mission Board and other Southern Baptist agencies to give prayerful urgency to continuing implementation of the suggestions made in ""A Statement Concerning the Crisis in Our Nation""; and	Be it further RESOLVED, That we urge individuals, churches, and institutions to continue to work for the fullest possible freedom and fulfillment of aspirations for human dignity and personal worth for all people; and	Be it further RESOLVED, That we express appreciation for those persons and agencies which have made courageous efforts to work for racial justice and human betterment in difficult areas; and	Be it further RESOLVED, That we reject in total the demands, principles, and methods espoused by the National Black Economic Development Council which has made outrageous claims against religious bodies in our nation, proclaiming our disapproval of the intimidation, threats, and ultimatums propagated by leaders of this movement; and	Be it further RESOLVED, That we instruct all Southern Baptist Convention agencies to channel available funds through already established channels of Convention agencies and institutions in keeping with program assignments for interracial and social service activities; and	Be it further RESOLVED, That we call upon all citizens of whatever race, creed, or national origin to work for racial justice, economic improvement, political emancipation, educational advancement, and Christian understanding among all peoples of the nation and the world.",1969
"WHEREAS, The Southern Baptist Convention has for many years purchased copyright privileges for the International Sunday School Lesson Series through the International Council of Religious Education which our Convention helped to found, and	WHEREAS, The Southern Baptist Sunday School Board has initiated its own Sunday School Lesson suggestions through the Southern Baptist Life and Work Curriculum;	Therefore, be it hereby RESOLVED, That we as messengers to the Southern Baptist Convention meeting in New Orleans, Louisiana,  June 13, 1969, remind our constituent churches that our own Baptist writers prepare Southern Baptist Sunday School Lesson commentaries and study helps which supplement the scripture outlines provided by the International Council of Religious Education; and	Be it further RESOLVED, That we encourage our churches to make greater use of Life and Work Curriculum materials.",1969
"WHEREAS, The concept of religious freedom and soul liberty is a biblical doctrine of priceless merit and historical value, and	WHEREAS, The Southern Baptist Convention has consistently adopted statements expressing its belief in the separation of church and state as a vital protection of religious freedom and soul liberty; and	WHEREAS, There are consistent efforts by many groups, including some religious bodies, to violate religious freedom by seeking the use of public monies for religious institutions,	Therefore, be it RESOLVED, That we reaffirm our belief in religious freedom and soul liberty for all men, and	Be it further RESOLVED, That we reaffirm our opposition to the use of public tax funds for religious functions or institutions, and	Be it further RESOLVED, That we urge all our people to practice that biblical stewardship which will adequately support all our Baptist agencies, and	Be it further RESOLVED, That we endorse the Southern Baptist Convention Executive Committee statement of February, 1969, opposing the appointment of a United States ambassador to the Vatican.	RESOLUTION ON THE FIRST AMENDMENT	WHEREAS, This Convention has been reminded again of the vital role Baptists played in the formation of the First Amendment, and	WHEREAS, The general statement of the First Amendment protecting the free exercise of religion by the American people is a comprehensive principle, and	WHEREAS, Controversy frequently emerges among us regarding specific freedoms as they pertain to individuals or public officials, and	WHEREAS, The Supreme Court decision of 1962 and 1963 defined the meaning of establishment of religion and did not restrain the free exercise of personal religion but restrained public officials from using their public office for promotion of religious experience,	Be it therefore RESOLVED, By the messengers of the Southern Baptist Convention meeting at New Orleans, June 13, 1969, that we request the educational agencies of this Convention, of the state conventions, associations, and local churches to study carefully the contemporary applications of the First Amendment in the situation they face.",1969
"WHEREAS, The biblical concept of man and his human relationships involves a Christian understanding of the proper role of home, sex, and the family, and	WHEREAS, Human sexuality and personality fulfillment may best be understood through teaching in the home and church;	Therefore, be it RESOLVED, By the messengers of the Southern Baptist Convention at New Orleans, June 12, 1969, that we encourage individuals, groups, and churches to make fuller use of the limited family life and sex education materials now available from the Southern Baptist Christian Life Commission, Sunday School Board, and Southern Baptist seminaries, and	Be it further RESOLVED, That we urge the Christian Life Commission of the Southern Baptist Convention to take the lead in encouraging all agencies and curriculum planners of our Convention to give increasing attention to basic and special resource materials on family life and sex education for Southern Baptist families and churches, in accordance with program assignments of respective Convention agencies.",1969
"	WHEREAS, This Convention recognizes, first, that widespread distribution of the printed Word of God is a basic need in mission work around the world, and second, that missionary advance calls for even greater distribution of Bibles, New Testaments, Gospels, other individual books of the Bible, and shorter Scripture selections, and	WHEREAS, The American Bible Society renders an essential worldwide missionary service through translating and publishing the Scriptures without note or comment and through distributing them without profit and usually below cost, and	WHEREAS, The American Bible Society is rendering an additional special service through providing, without charge, to the chaplains, Scriptures for distribution to the men and women of the armed forces and to patients in veterans hospitals, and	WHEREAS, The American Bible Society has made a distinctive contribution to the Christian witness through the widespread distribution of an inexpensive translation of the New Testament in everyday English, ""Good News for Modern Man,"" and	WHEREAS, The American Bible Society, in cooperation with 48 other national Bible societies, is now engaged in a program of worldwide missionary advance, with the theme, ""God's Word for a New Age,"" seeking to place the printed Word of God in the hands, hearts, and lives of more people, in more lands, in more languages,	THEREFORE, BE IT RESOLVED, That we fraternally urge all our churches and our people to make worthy contributions to the work of the American Bible Society, in order to provide the Scriptures needed for the missionary advance to which we are committed, and	BE IT FURTHER RESOLVED, That we encourage state conventions, associations, and churches to emphasize in their own programs the need for a wider reading and sharing of the Holy Scriptures in our own land and throughout the world.",1970
"	It has been our good fortune to celebrate our 125th Anniversary in beautiful Denver, Colorado, the ""mile high"" city where the great central plains and the towering Rocky Mountains meet.  There are many to whom we would like to express our sincerest gratitude.	We recognize that the great size of our Convention imposes a burden upon the local citizens.  It taxes both hotels and convention facilities, overcrowds the streets and the parking lots, and puts extra burden on the cafes and restaurants.  We appreciate their patience and their friendliness, for we have found the people to be cordial hosts.	We especially thank our local Baptist brethren and their churches.  We congratulate them on being able to do so much for us, considering that they are fewer in number than those found in most convention cities.  We know they will continue to grow in this unusual and enterprising city.	We are grateful too for the cooperation of the press.  This year a total of 165 people have registered with the press room.  This includes 35 from daily papers and wire services, 42 from Baptist state papers, 30 from radio and television stations and 16 from other religious publications.  In addition, 440 radio stations are receiving telephone reports and 125 daily newspapers are getting special releases.  The press room staff has worked hard to help these people.	We especially want to thank W. A. Criswell, Lee Porter, and Harper Shannon for their statesmanship in presiding.  They have been fair and patient at all times.  And we would like also to express to the Committee on Order of Business appreciation for the revised program.  It has made this a memorable Convention, one not to be forgotten.	Finally, we would like to express appreciation for all of those people who work for the agencies and who make the Convention attractive and successful.  These are the persons who plan, install, and conduct the exhibits, the book store, the press room, the Convention office, and the Convention Bulletin.",1970
"WHEREAS, The Brazilian Baptist Convention developed the idea of the Crusade of the Americas, and	WHEREAS, The Brazilian Baptist Convention challenged Baptists in South, Central, and North Americas to participate in this evangelistic effort, and	WHEREAS, Thousands found Christ during the Crusade of the Americas,	BE IT THEREFORE RESOLVED, That the Southern Baptist Convention send a letter to the Brazilian Baptist Convention in appreciation for their missionary efforts and their evangelistic endeavors.",1970
"WHEREAS, The use of drugs, including alcohol, is becoming an increasing problem among many persons of all ages in our society, and	WHEREAS, About 52 percent of fatalities and injuries in traffic accidents in 1969 involved motor vehicles whose drivers had been drinking alcoholic beverages, and	WHEREAS, The abuse of drugs causes great human suffering and is destructive to the life of the family and community, and	WHEREAS, We recognize that one major cause of the drug culture has been the failure to find meaning and fulfillment, and	WHEREAS, It is the responsibility of God's church to bring the message of redemption to those who are the victims of the abuse of drugs and alcohol,	THEREFORE, BE IT RESOLVED, That this Convention opposes any legislation that causes increased use of drugs and alcohol; that the messengers to this Convention commit ourselves to work for community and state programs of rehabilitation; that we will work for appropriate new legislation that will result in enforceable and scientifically correct laws on narcotics, alcohol, and dangerous drugs, and that the Inter-Agency Council be requested to assign to appropriate agencies the responsibility to develop programs for church use to educate adults and young people concerning the dangers of the abuse of drugs and alcohol.",1970
"WHEREAS, Human beings have for a long while recognized their need for food, clothing, and shelter, and	WHEREAS, God has created man to be a creature also who needs clean air, pure water, and an environment which contributes to his general health, and	WHEREAS, Man has created a crisis by polluting the air, poisoning the streams, and ravaging the soil,	THEREFORE, BE IT RESOLVED, By the messengers of the Southern Baptist Convention meeting at Denver, June, 1970, that we call upon churches to help remedy this environmental mismanagement by practicing and proclaiming a positive awareness that ""the earth is the Lord's,"" and	BE IT FURTHER RESOLVED, That we urge Christians everywhere to practice stewardship of environment and to work with government, industry, and others to correct the ravaging of the earth, and	BE IT FURTHER RESOLVED, That we request the Christian Life Commission to take the lead in working with other agencies of the Convention to encourage effective education and action to meet the environmental crisis.",1970
