"","text","year"
"24","RESOLVED, That this Convention appoint a committee of three, whose duty it shall be to see that the Proceedings of this Convention are more largely reported by the Associated Press.",1904
"25","WHEREAS, By the express words of the Constitution under which this Convention was organized in 1845, the scope of its work embraces the whole United States; and all persons of our denomination making the necessary contribution, and all constituent bodies of the same who co-operate with us, are invited to representation in this body without reference to locality, or territory, or latitude; and	WHEREAS, In the progress of time and events it has come about that the work of this Convention is more limited as to the actual boundaries to which its constituency extends, than it ought to be, and the work of the Convention within even what is recognized as its legitimate territory is unfairly divided, and encroached upon by neighboring organizations; it is therefore	RESOLVED, That a committee be raised, consisting of five members of this body, appointed by the Chair, whose duty it shall be to consider and report at the next Convention whether any steps be feasible, and, if so, what steps are wisest and best to remedy these evils, and widen the constituency and work of this Convention, according to its nature and opportunities.	On motion of T.T. Eaton, Kentucky, by unanimous consent this committee was directed to consider the matter of modifying the preamble to our Constitution, so as to make it conform to the facts.",1904
"26","On motion of J. N. Prestridge, Kentucky, the following resolution was adopted:	We rejoice that in the United States and other countries a general desire has been expressed among Baptists to hold a Pan-Baptist Conference, for the purpose of discussing matters of vital interest to the denomination.	RESOLVED, THEREFORE, That a committee of one from each State within the bounds of the Southern Baptist Convention be appointed to cooperate with the Council of the Great Britain and Ireland Baptist Union, which has officially endorsed the movement, and with such committees of other general Baptist bodies as may be appointed for this purpose.",1904
"27","WHEREAS, The facility with which divorces are at present obtained in our courts is an incentive to exaggerate the minor difficulties of married life, and an encouragement to dissolve the union that otherwise would continue with difficulties removed an	WHEREAS, The laws of our States, with a few exceptions, permit divorces for many and often trivial cases; therefore	RESOLVED, That it is the sense of this body that the Legislatures of the States represented in this Convention be requested to discourage this great and growing evil by more stringent laws regulating the same.	RESOLVED, That it is the sense of this body that Baptist ministers should refuse to solemnize the rites of matrimony in cases where one or both parties concerned have been divorced on other than Scriptural grounds, as laid down in Matthew 19:9.",1904
"28","RESOLVED, That the Convention appoint a committee of twelve pastors, not members of any Convention Board, to be known as the Committee on Evangelism for the Needy Sections of our Convention Territory;	That this committee, in cooperation with the Secretaries of our Boards, shall employ a general evangelist, who shall also be the Secretary of the Committee;	That said evangelist shall, in addition to his evangelistic work, gather statistics, disseminate information and call to his aid such help and helpers as the Committee may approve;	That the cooperation of State Boards be secured as far as possible, where work is to be done in needy and destitute fields;	That the salary of the general evangelist be paid by the three Boards of the Convention, and other expenses, including the salaries of special evangelists, be arranged for by the field or cooperating board;	That collections be taken at every meeting held by the evangelists for the work of the Evangelistic Committee;	That annual reports be made to the State Boards in all the States where work has been done;	That the Committee also report annually to the Convention.",1904
"29","WHEREAS, Reports have been coming for several years past from many independent sources of outrages and injustices of the most revolting kind being committed on the natives of the Congo Free State, Africa, by authority of, and apparently with, the full knowledge of King Leopold, who is the absolute sovereign; and	WHEREAS, The Government of the United States in the year 1884 was the first great power to recognize the independent sovereignty of the Congo State; and	WHEREAS, We believe it to be the privilege and the duty of the citizens of the United States, and especially of Christian citizens, to do all in their power, in the name of humanity and Christianity, to ameliorate the unfortunate condition of affairs in the Congo Free State; therefore	RESOLVED, That it is the belief of this Convention, representing the Baptists, that our Government, in response to a memorial recently presented in the Senate of the United States, should as speedily as possible do all it can in the most fitting way in order once more to open up the Congo State to commerce and mission enterprise and to free the native peoples from the tyranny and oppression of the government of King Leopold.	RESOLVED, That the Secretary of this Convention be instructed to send a copy of this resolution to the public press, to the Secretary of State at Washington, and to Senator John T. Morgan.",1904
"30","	RESOLVED, That ten messengers be appointed by the President of the Convention to represent the Convention at the next session of the American Anti-Saloon League.",1905
"31","	RESOLVED, That the thanks of the Convention are due, and are hereby cordially tendered, to the Baptists of Kansas City for their kindness in arranging for our entertainment; to the other citizens of Kansas City for contributing generously toward this entertainment; to the press of the city for its reports of the proceedings of the Convention; to the various railroad lines for reduced rates in attending the Convention; to the hotels and boarding houses of the city for reduction in their regular rates and for other courtesies.",1905
"32","Inasmuch as the Fourth of July has become too often a day of drunkenness, debauchery, and noise, instead of a day for inculcating the principles of a lofty patriotism as the founders of the Republic intended it should be, and	Inasmuch as the American Anti-Saloon League, the agency of the federated churches on the liquor question, has inaugurated a movement to make it a day for patriotic temperance demonstration throughout the country; be it, therefore,	RESOLVED, That we call upon our churches, Sabbath schools, and young peoples' societies everywhere to join with other religious organizations and temperance bodies in every community for a legitimate and wholesome celebration where patriotic temperance addresses shall be delivered, and appropriate and inspiring music rendered.",1905
"33","RESOLVED, That this Convention is in sympathy with any proper movement looking to a closer fellowship of all American Baptists, and hereby appoints its officers to represent it in the deliberations of the meeting called for such a purpose in St. Louis on Tuesday, the sixteenth of the present month; provided, of course, that the said representatives shall not encourage the formation of any body that would be in conflict with existing organizations.",1905
"34","RESOLVED,	(1)  That the thanks of this Convention are hereby extended the Baptists of Chattanooga, and her citizens in general, for the ample provisions made for the entertainment and comfort of the delegates.	(2)  That we here record our appreciation of the City Auditorium as a suitable and well-arranged place for holding great conventions.	(3)  That we appreciate the unwearied efforts of the local committee, of which Dr. Howard L. Jones was chairman, for our comfort and happiness.	(4)  That our thanks are by this extended to the railroads for the special rates made and for the efforts upon the part of the officials to meet all the exigencies of a situation created by the coming together of so large a body from all quarters of our Southland.	(5)  That we hereby recognize and thank the secular press for the large amount of space given to the reports of our work and to the personnel of our body.",1906
"35","WHEREAS, The statements of a multitude of veracious eye-witnesses regarding the appalling outrages inflicted by Leopold the Second upon the native population of the Congo have been confirmed by the conclusive testimony of an official commission of inquiry; and	WHEREAS, A conference of fifty-two evangelical missionaries, representing six different countries, held on January 11, 1906, unanimously declares that these cruelties continue unabated, and that millions of defenseless people seem doomed to annihilation;	RESOLVED, That, inasmuch as the United States was the first power to recognize the flag of the Congo State, it is fitting that it should be foremost in efforts to ameliorate the terrible lot of that helpless people;	RESOLVED, That we urge upon the President and upon Congress to take all possible steps, whether by remonstrance, by diplomatic correspondence, or otherwise, to end conditions which are a reproach to the civilization of the twentieth century, and repugnant alike to religion, justice, and humanity;	RESOLVED, That a copy of these resolutions be sent by the Secretaries of this Convention to the President of the United States and to the Secretary of State, and that we urge all our people to unceasingly pray and labor that this unspeakable crime against God and man may be brought to a speedy end.	RESOLVED, That we express our horror of the atrocious cruelty practiced by Leopold of Belgium upon the natives of the Congo country, and we direct our President and Secretaries to send a strong communication to the Secretary of State of the United States, urging him to exert himself to abate these crimes to which our treaties make us party.	2.  That we rejoice with the people of Great Britain on their recent victories in behalf of soul-liberty, and we hope they will continue the good fight till perfect freedom is theirs.	3.  That we congratulate the French people, and especially our French Baptist brethren, on the separation of church and state in France.	4.  That we behold with heartfelt thanksgiving the inauguration of constitutional government in Russia, and sincerely pray that this great movement may turn out to the furtherance of the gospel.",1906
"36","The resolutions sent up by the Georgia Convention give in emphatic and succinct terms the views of that body on this important subject, but are so framed as not to be adapted for direct action by this Convention, and complying with the suggestion of the Georgia Convention, your Committee deem it appropriate that resolutions be specially framed and submitted for action by this body as follows:	God speed the day that, when by suggestions like those we here submit, or by better ones, if any can make them, men and women and girl children, and all the innocent and the good, may be safe as they come and go, and in their homes, whether such homes be in castle or cabin!	The law is very weak and imperfect.  ""We speak this to our shame.""  But lynching is not the remedy.  Lynching blunts the public conscience, undermines the foundations on which society stands, and if unchecked will bring on anarchy.	We should not stop with merely writing and teaching and praying against the lynchers, leaving the helpless and innocent victims of crime with no adequate or sufficient protection.  Our condemnation is due with equal emphasis, and in many cases with much greater emphasis, against the horrible crimes which cause the lynchings.	President Roosevelt, in a public address delivered at Little Rock, Ark., in October of last year, as reported at the time in the public press, amongst other things said:	""We urgently need in this country methods for expediting punishment--methods for doing away with delay, methods which will secure to the public an even chance with the criminal.  At the present the right of appeals is in criminal cases so abused as to make it a matter of the utmost difficulty ultimately to punish a man sufficiently rich or sufficiently influential to command really good legal talent.	""If the law is reasonably speedy and reasonably sure, it takes away one great excuse for lawlessness.  If some horrible crime is committed, and the people feel that under the best circumstances there will be an indefinite delay in the punishment of the criminal, and that the punishment will be uncertain, even when the time for administration of it comes, then a premium is put on that kind of law breaking which more than other is a menace to the law.	""I earnestly hope that some substantial improvement shall be made in the direction of securing greater expedition and greater certainty in the administration of justice, especially in the administration of criminal justice.""	Let it be observed that the complaint here is not in regard to what the law declares to be crime or in the punishment which the law denounces against crimes, but the difficulty lies in the remedies given in legal administration for the enforcement of the law; the trouble being, not as to what the law is, but as to carrying it into effect.	The daily papers are teeming with accounts of horrible tragedies and crimes, and they seem to be growing worse and more numerous.  The law as now contrived, in the hands of offenders of all classes, offenders and defenders, who know how to use or misuse the law, is but a poor protection and dependence for the innocent and the good.	The evils above named and the remedies needed are confined to no part of the United States, but crimes and lynchings have become so general and so frequent in nearly all parts of our common country as to form an appalling aggregate--enough to make any Christian shudder or sadden the heart of a patriot.	But what shall we do about it?  The answer is:  Make the law better and make it stronger.  Amend the law.  Give it more promptness and more wisdom and more justice and more certainty in its own enforcement.  Astonish the murderer and rapist by its quickness and its certainty.  If the law will protect the innocent and the good in all the States, the innocent and the good in all the States will respect the law.  Enlarge the powers of the courts.  Take away the unreasonable provisions by which so many advantages are given to the criminal in the trials.  Give the State the right of appeal or to have a writ of error just like the criminal has, and in every criminal trial put the State and the accused upon terms of perfect equality, so that innocent and good people may rely on the law for protection rather than rush into irregular and dangerous force under methods of their own.	Your Committee are well aware that this Convention has no ecclesiastical jurisdiction, but it is recommended that all our membership guided by Bible precept, and with prayers for the blessing of Almighty God, agitate for and insist on amendments in the criminal laws and judicial procedure until all men know that the courts will surely visit just and speedy punishment upon the guilty in every case.	It is hoped that the discussion of this important subject may be taken up and continued by the different State conventions and district associations until combined public sentiment shall demand and obtain the needed and appropriate remedies and amendments of the kind indicated.  Respectfully submitted,				N.W.P. Bacon, Chairman	George Hillyer				W.C. Lattimore			J.B. Hawthorne				F.C. McConnell			E.E. Folk",1906
"37","WHEREAS, A great calamity by earthquake and fire has come upon San Francisco and vicinity, causing vast destruction of property and cutting off the incomes of thousands of people; and,	WHEREAS, Four Baptist churches were totally destroyed, one wrecked, a dozen or more seriously damaged, and many of our Baptist brethren lost their property and business; therefore be it	RESOLVED, By the Southern Baptist Convention, that we express our deep sympathy with our California brethren in distress.	RESOLVED, That we heartily endorse the Emergency Call of the Baptist Relief Committee, with its office at 906 Broadway, Oakland, Cal., to the Baptist brotherhood of America for money to help in rebuilding these churches, and that we recommend that an offering be taken in every church for this object; and	RESOLVED, That a committee of three be appointed by this body to further this deserving cause, through our denominational press and otherwise.",1906
"38","	WHEREAS, The greatest enemy of the cause of Christ which we as a Convention in part represent is the legalized liquor traffic;	WHEREAS, All of the States composing this Convention have more or less of prohibition territory within their borders;	RESOLVED, 1.  That we respectfully, but very earnestly, request the officers of our National Government not to issue privilege taxes for the sale of liquors where its sale is prohibited by the laws of the State.	2.  That we urge our Senators and Representatives in Congress to pass the Hepburn-Dolliver bill, or the Littlefield-Carmack bill, or some similar measure making liquor shipped from one State into another subject to the laws of the State into which it is imported.",1907
"39","	RESOLVED, That the thanks of this Convention are due and hereby tendered to the churches' committee on entertainment for the elegant hospitality received; to the railways for reduced rates; to the steamboats for their kindness, and to the press for the full reports of our meetings.",1907
"40","	WHEREAS, The Baptist State Convention of North Carolina at its last session, by resolution endorsed the establishing of a Baptist Assembly Grounds in Western North Carolina, and invited the Southern Baptist Convention to endorse the movement: and	WHEREAS, Such grounds have been established in the Swannanoa Gap of the Blue Ridge Mountains, east of Asheville;	RESOLVED, That at the request of the North Carolina Baptist State Convention, the Southern Baptist Convention does hereby endorse the movement without assuming any financial responsibility.",1907
"41","RESOLVED, That this body cordially sympathizes with the effort of the Baptist Union of Russia to establish a Baptist Theological Seminary at Rivel, and commends this enterprise to the good will and liberality of the Baptist brotherhood.  This Seminary enterprise is represented by Baron Uixuill, the treasurer of the Russian Baptist Union, whom the Union has sent to enlist in their work the sympathy and cooperation of their American brethren.",1907
"42","RESOLVED, That the President appoint a committee of three, whose duty it shall be to arrange for the holding of a mass-meeting in the Convention Hall on the Sunday afternoon during the next annual session of the Southern Baptist Convention; said mass-meeting to consider and counsel together as to what may best be done by Christian men and ministers, especially Baptists, for creating a more wholesome public opinion; for making the criminal laws more certain, more prompt, and more effective; so as to take away the reproach resting on civilization and religion by the prevalence of crime and lynchings; and so as to make the law respected and effective in all parts of our common country.",1907
"43","RESOLVED, That we look with devout gratitude to Almighty God upon the advance throughout the wide world of the cause of peace, for ""Peace hath her victories no less renowned than war; and we desire and will pray for the day to hasten when all nations will settle their difficulties by arbitration rather than the resort to arms; and the song of the angels at the advent of Christ be fully realized--""Peace on earth, good will to men.""",1907
"44","	WHEREAS, One of the very greatest obstacles in the way of the advancement of God's kingdom in the world, both at home and abroad, is the legalized liquor traffic, ruining homes, blighting characters, blasting lives, damning souls, and neutralizing to a large extent the work of pastors and missionaries on home and foreign fields.	WHEREAS, It is a fight between the churches on one side and the liquor traffic on the other side, the churches standing for good and for God in the world, and the liquor traffic standing for evil in the world.	RESOLVED, 1.  That we, the Southern Baptist Convention, representing a constituency of over 2,000,000 members, hereby declare our determined and uncompromising opposition to the liquor traffic in all of its forms;	2.  That we respectfully but very earnestly request the proper officers of our national government not to issue privilege taxes for the sale of liquor where its sale is prohibited by the laws of the State:	3.  That we urge our Senators and Representatives in Congress to pass some measure to prevent the shipment of liquor into dry territory;	4.  That we will preach temperance, practice temperance, pray for temperance, and vote for temperance; 	5.  That we urge people everywhere not to vote for anyone for any office who is known to be in sympathy with the liquor traffic;	6.  That we express our joy and our deep gratitude to God because of the fact that since the last meeting of this Convention the prohibition territory in the bounds of the Convention has very largely increased, and we declare our purpose as Southern Baptists, joining hands with our brethren of other denominations and with every one who loves the churches and the homes and the schools, not to cease our efforts until every vestige of this accursed liquor traffic has been entirely banished from our land;	7.  That this Convention appoint a standing committee of fifteen brethren, to be known as a Committee on Temperance, whose duty it shall be to promote in every way possible the cause of temperance, until there shall not be a licensed saloon in our land, and until the whole liquor traffic shall be banished not only from our land, but from all lands;	8.  That a copy of these resolutions be furnished to the presiding officers and chairmen of the proper committees in each branch of Congress, to the Governor of each State of the South, and that the press be requested to publish them.	RESOLVED, That it is the sense of this body that it would be most helpful to our people if the Sunday School Board would publish in tract form the address delivered by Dr. B. H. Carroll before the Convention.	RESOLVED, That the thanks of this Convention are due and are hereby cordially tendered to the officers of the Convention for faithful and efficient service; to the Baptists and citizens and hotels for hospitable entertainment to some members of the Convention, including all home and foreign missionaries, and for reduced rates to others; also to the Baptists and other denominations for the use of their houses of worship; to the bath houses for free baths, and to the various railroads for reduced rates.	WHEREAS, Since the Baptist message is the expression of fundamental and universal in the Bible, in society, in government, and in the individual life, therefore it mightily behooves the Baptists of the South to put this message before all the people in the field of their responsibility in a concrete, forcible, engaging and lasting way.",1908
"45","RESOLVED, That the Southern Baptist Convention recognize the importance of the work now being accomplished by the Baptist schools within the territory of the Convention, and commends the desire of the Southern Baptist Education Association to have denominational education presented before the next annual session of the Convention.	RESOLVED, That a Committee be appointed by the chair which shall report next year on the condition of Baptists schools within the bounds of this Convention.",1909
"46","WHEREAS, One of the Vice Presidents of this Convention, Rev. B. F. Riley, D.D., has been elected General Superintendent of the Southern Negro Anti-Saloon Federation, the headquarters of which are to be in Birmingham, Ala.; and	WHEREAS, It is scarcely possible to overstate the importance of the work of such an organization in the moral and social uplift of the many millions, and the consequent betterment of conditions for both white and colored people in the South;	RESOLVED, That both the Superintendent and his work be commended to the sympathy and support of all good people everywhere.",1909
"47","WHEREAS, This Convention has learned from the public press that two American citizens, missionaries of the Presbyterian church in the United States to the Congo, namely, the Rev. W. M. Morrison, and the Rev. W. H. Sheppard, are to be arraigned and tried before a court of the Congo Free State, on charges of criminal libel based on published criticisms of cruelties against the natives; and,	WHEREAS, It is the conviction of this Convention that the missionaries of our Christian denominations are entitled as American citizens to the protection of our Government;	THEREFORE, RESOLVED, That the Southern Baptist Convention, without passing any judgment on the merits of the particular case above referred to, respectfully requests the President of the United States and the Department of State at Washington to take all proper steps to see that American citizens residing in foreign lands as Christian missionaries are fully protected in all their rights and privileges as citizens of the Republic.",1909
"48","WHEREAS, The denominational weeklies of Southern Baptists have received less appreciation from the denominational than any other agency, in proportion to the value of the service they have rendered; and,	WHEREAS, Only an average of one Baptist family in five among our people in the South take a denominational weekly; and,	WHEREAS, To multiply the circulation of our papers is to multiply the efficiency of every agency of service fostered by this Convention; therefore, resolved,	1.  That this Convention urges upon the State Conventions and District Associations the propriety of giving a good hour in their annual gatherings for the purpose of magnifying the mission of the denominational journal.	2.  That we urge the pastors to put the value of the denominational papers on the consciences of their people and in every fit way to facilitate the extension of their circulation.",1909
"49","	RESOLVED, That the thanks of this Convention are hereby tendered to the good people of Baltimore, the Baptist membership, and local committee for the splendid management of the arrangements for the comfort of the delegates and use of the Convention.	Also to the physicians and nurses who have their skill and time in caring for the sick and injured; to the various railroads and steamboat companies for reduced rates, and to the Angelus Quartette for their appreciated services.	RESOLVED, That we express our hearty appreciation of the service rendered this Convention by the press of Baltimore, a service most excellent in the courtesy of its reporters, the amount of space given, and in sympathetic appreciation for the objects here promoted.",1910
"50","	WHEREAS, The removal of the branch houses of the American Baptist Publication Society from the South has left open a great field for the preparation and dissemination of Christian literature of many sorts, especially of the Baptist type; and,	WHEREAS, Somebody is going to occupy this field, more or less, to the advantage of our Baptist interests; and, 	WHEREAS, There is no agency, individual or other, so well qualified to occupy it to the satisfaction and profit of our people as is our own Sunday School Board, which has means, experience, business touch with all our churches, Sunday schools, and pastors, knows well the needs of our people and enjoys their confidence and affection; therefore be it resolved:	1.  The Board be authorized and urged to enter, at as early date as possible, on the work of supplying the brethren of our churches with books, tracts, hymn and song books, and indeed all supplies for churches, Sunday schools, missionary societies, Young People's Unions, such as are suitable and desirable.	2.  That in the prosecution of this work it enter into the closest possible cooperation, consistent with wise business management, with Baptist book houses in the various States, especially those under control of organized Baptist bodies.	3.  That the Board be authorized to seek from the churches, Sunday schools, and other organizations cooperating with this Convention, gifts for its distinctively missionary operations in the matter of colportage, tract distribution, etc.",1910
